diagonal.n.04 mathematicalconcept
benedict_xiv.n.01 papalfigure
white_wine.n.01 winevariety
anopheles.n.01 insect
hottentot_bread.n.01 plantpart
neurogenesis.n.01 biologicalprocess
pierce.n.01 uspresident
unsociable.a.01 personalitytrait
lien.n.01 legalright
shame.n.02 moralstate
family.n.01 socialgroup
gerreidae.n.01 fishfamily
put_on.v.03 cookingappliancepreparation
potamogetonaceae.n.01 aquaticplantfamily
picnic_area.n.01 recreationground
self-starter.n.02 automotivestartingsystem
trilliaceae.n.01 plantfamily
base_hit.n.01 baseballact
squinter.n.01 humancondition
pseudacris.n.01 amphibianspecies
aeolis.n.01 ancientgeographicalregion
carry.v.23 approvalgrant
cleanness.n.01 property
myelinization.n.01 biologicalprocess
afraid.a.01 psychologicalstate
collectible.n.01 collectibleitem
scotland.n.01 country
iroquoian.n.01 nativeamericanlanguagefamily
traffic.v.01 criminalactivity
office-bearer.n.01 person
immunoglobulin_a.n.01 antibodyspecialization
genus_chaenactis.n.01 plantgenus
swab.v.01 cleaningaction
liparis.n.02 fishfamily
size.n.02 quantitativeproperty
conserve.v.03 resourcemanagement
parget.v.01 buildingdecoration
erase.v.03 digitaldeletion
carroll.n.01 author
elementary_geometry.n.01 mathematicalconcept
gloss.v.03 translatoraction
disagreeableness.n.02 personalitytrait
toboggan.n.01 wintersportsequipment
bunch.n.03 collection
susceptibility.n.01 vulnerability
cnidaria.n.01 marineinvertebrate
magnetization.n.01 physicalproperty
free_phagocyte.n.01 circulatingimmunecell
gloss.v.01 surfacemodification
bedraggle.v.01 weathermodification
podocarpaceae.n.01 plantfamily
extensile.a.01 expandablematerial
validation.n.01 action
composition.n.03 mixture
immobilization.n.02 restrictionaction
health_professional.n.01 medicalpractitioner
quarrel.n.01 conflict
technology_administration.n.01 governmentagency

delight.n.01 emotion
rescue_equipment.n.01 emergencyresource
wage.n.01 compensation
energizer.n.01 motivationalfigure
aleurites.n.01 plant
papaver.n.01 plantgenus
caliph.n.01 religiousleader
autosomal_recessive_disease.n.01 geneticdisease
macadamize.v.01 roadsurfaceaction
praseodymium.n.01 chemicalelement
cook.n.01 chef
colorado_plateau.n.01 geographicalfeature
pensioner.n.01 pensionrecipient
drive.v.07 coercion
stretch.n.03 racetrackfeature
souse.v.03 behavioralstate
vacation.n.01 leisureactivity
fondness.n.01 preference
thump.v.03 impactaction
short_circuit.n.01 electricalfault
wash.v.02 hygieneaction
anticancer.a.01 medicaltreatment
male_body.n.01 humananatomypart
incredibility.n.01 abstractconcept
new_year's_day.n.01 holiday
rheims.n.01 city
watt.n.01 unitofpower
jovian_planet.n.01 planettype
shrine.n.01 religiouslocation
tasset.n.01 armorcomponent
subtitle.n.01 moviesubtitle
astaire.n.01 actor
campanula.n.01 flower
slavic.n.01 languagefamily
rhineland.n.01 geographicregion
malfunction.v.01 failure
ctenophore_family.n.01 taxonomicgroup
wall_creeper.n.01 bird
micruroides.n.01 animal
marchantiales.n.01 plantdivision
genus_galax.n.01 plantspecies
winston-salem.n.01 city
lighterman.n.01 waterwayworker
trim.v.02 decorationaction
fraxinella.n.01 plant
round.v.01 movementaround
sunda_islands.n.01 islandgroup
cenchrus.n.01 genusofgrass
choke.v.03 violentaction
cellulose_tape.n.01 adhesivematerial
kitchen_utensil.n.01 cookware
intervertebral_disc.n.01 spinalstructure
paris.n.02 plantspecies
alhazen.n.01 scientist
rear.n.05 hiddenside
true_toad.n.01 amphibian
ethmoid.n.01 cranialbone
soul.n.04 abstractconcept
run.n.05 americanfootballplay
selenium.n.01 chemicalelement
park.n.02 publicrecreationspace
refute.v.01 disproofaction
slave.n.01 person
medley.n.01 musicalcomposition
homogenization.n.01 process
even-toed_ungulate.n.01 mammal
numeral.n.01 symbolicrepresentation
stage.n.06 milestone
aphididae.n.01 insectpest
electronic_instrument.n.01 musicalinstrument
government_department.n.01 governmentorganization
hit.v.16 successfulaction
animal_disease.n.01 zoologicalpathology
convolvulaceae.n.01 floweringplant
acetaminophen.n.01 painmedication
ringworm_bush.n.01 plant
device.n.01 inventon
operate.v.05 event
mephitis.n.03 taxonomicgenus
gasp.n.01 physiologicalresponse
land.n.04 geology
fill.v.04 assumership
poppy_seed.n.01 foodingredient
credit.n.02 financialinstrument
heterosexual.a.01 sexualorientation
infantryman.n.01 soldier
fakir.n.01 religiousfigure
rush.n.06 event
willow.n.01 treespecies
confine.v.03 restriction
splurge.v.02 descriptiveaction
government_accounting_office.n.01 governmentalagency
goose_barnacle.n.01 marineorganism
bedizen.v.02 improperdecoration
eacles.n.01 insects/lepidoptera
superannuation.n.03 retirementpolicy
pacify.v.01 politicalaction
extinguish.v.04 action
metier.n.02 profession
extension_course.n.01 educationaloffering
yugoslavian.a.01 formercountryaffiliation
prison_guard.n.01 securitypersonnel
authorship.n.02 creation
gadolinium.n.01 chemicalelement
pension_plan.n.01 financialproduct
infidelity.n.01 moralfailing
alcidae.n.01 birdfamily
residency.n.02 medicaltrainingprogram
rain_tree.n.01 ornamentaltree
escape.n.07 fluiddischarge
genus_cyrilla.n.01 plantspecies
calamus.n.04 fishgenus
dumbbell.n.02 person
linguistic.a.01 linguisticallyoriented
ph.n.01 phvalue
auxin.n.01 planthormone
coach.v.01 trainingprofessional
yawn.n.01 physiologicalaction
framing.n.01 projectplanning
eelpout.n.01 marinefish
closing.n.03 proximityevent
varnish_tree.n.02 lacquertree
heroism.n.01 couragequality
dardanelles.n.01 geographicfeature
grow.v.08 physicaltransformation
sex_symbol.n.01 celebrity
illustration.n.01 visualexplanation
tide.n.01 astronomicalphenomenon
mean.n.01 numericalmeasure
quira.n.02 treespecies
buffered_aspirin.n.01 medication
organization.n.04 businessfunction
smallholder.n.01 farmer
discredit.v.01 reputationaction
tally.v.03 gamescorekeeper
stand_pat.v.01 inflexiblestance
prefecture.n.02 politicaloffice
notch.n.04 physicalfeature
micron.n.01 siunit
sect.n.01 religioussubgroup
cultivate.v.01 growthpromotion
bounce.n.01 elasticity
castile.n.01 geographicalregion
silver.v.03 colorchange
educationist.n.01 educator
feud.n.01 conflict
fall.v.30 initiativeaction
varna.n.01 city
duplicate.v.03 replicationaction
scene.n.01 location
glaucium.n.01 plant
dhole.n.01 canid
time-out.n.01 sportsevent
firing_squad.n.01 militaryexecutiongroup
crystallize.v.04 physicaltransformation
mask.v.02 coveringaction
reminisce.v.01 memoryaction
right_bank.n.01 parisianlocation
go_off.v.05 eventrealization
lophophora.n.01 plant
try.v.06 harm
requiem_shark.n.01 sharkspecies
scientific_research.n.01 scientificinvestigation
yosemite.n.01 naturalfeature
wastage.n.01 process
sender.n.01 communicator
anthocerotaceae.n.01 plantfamily
affix.n.01 morphologicalcomponent
borderland.n.01 geographicregion
paul_vi.n.01 religiousfigure
ordnance_survey.n.01 governmentalorganization
worker.n.01 occupation
tug.v.01 physicalforce
guano.n.01 naturalsubstance
immunoglobulin_e.n.01 antibody
matter_to.v.01 relevance
custard.n.01 dessert
centimo.n.01 currency
feast.v.02 fundraiserorganizer
bind.v.03 containment
thud.v.02 collisionaction
golf_stroke.n.01 action
effervescence.n.01 physicalprocess
dissolution.n.05 relationshipend
electrical_converter.n.01 electricaldevice
cub.n.01 adolescent
hang_glide.v.01 sportsactivity
immutability.n.01 abstractproperty
hessian_fly.n.01 agriculturalpests
religion.n.02 divineinstitution
insectivorous.a.01 dietarypreference
enthuse.v.02 expression
curtain.v.01 interiordecorationaction
rein_orchid.n.01 flora
sparkle.v.02 display
bridge.n.05 cardgame
fortify.v.02 perimeteraction
orchestiidae.n.01 insects
beep.n.01 soundsignal
expatiation.n.01 conversation
book.n.10 chapter
sake.n.02 alcoholicbeverage
caroline.a.01 reignperiod
purple_willow.n.01 plant
comprehensible.a.01 understandable
biota.n.01 ecosystempopulation
pass.v.07 motion
k.n.07 sldrugalias
body_part.n.01 anatomicalstructure
trip.v.04 incitement
september_elm.n.01 treespecies
jet.n.02 dischargeevent
synapse.n.01 neurologicalstructure
star.v.02 leadactor
field_pea.n.02 crop
touch.n.11 dexterity
waver.v.06 motion
life_office.n.01 financialinstitution
hiddenness.n.01 concealmentproperty
filibuster.n.02 legislativeprocedure
digest.v.02 cognitiveprocess
war_zone.n.01 militaryconflictlocation
ore.n.01 naturalresource
woolgathering.n.01 abstractconcept
re-formation.n.01 processimprovement
menstrual_cycle.n.01 biologicalprocess
centesimo.n.01 currencyunit
terrapene.n.01 reptile
jerusalem.n.01 city
encode.v.01 datatransformation
shore_pine.n.01 plantspecies
fungus.n.01 microorganism
grind.n.04 process
bran.n.01 cerealgrainresidue
rabat.n.01 city
distract.v.01 redirectionaction
module.n.04 softwarecomponent
strong-arm.v.02 manipulativeaction
oran.n.01 city
pteridospermopsida.n.01 extinctplantgroup
radiography.n.02 medicalimagingtechnique
samaria.n.01 ancientcity
cast.n.01 ensemblecast
taste.n.01 sensoryperception
cigarette.n.01 consumerproduct
efficacy.n.01 capability
ditch_reed.n.01 graminoid
ride.v.02 transportationmode
excite.v.07 energization
new_dealer.n.01 politicalsupporter
concrete.v.02 conglomerationprocess
nearby.s.01 spatialrelationship
peach.n.03 fruit
hatband.n.01 headwearaccessory
pox.n.02 disease
judicial_branch.n.01 governmentbranch
clog.v.05 aggregation
burke.v.01 necromanticritual
santiago_de_cuba.n.01 city
thalamus.n.01 brainstructure
vesuvius.n.01 volcano
caterpillar.n.02 constructionequipment
texture.n.01 materialproperty
flag_officer.n.01 navalrank
cat's-claw.n.01 plant
dress.v.04 styleaction
confirm.v.02 reinforcement
stimulate.v.06 emotionalinfluence
digital_subscriber_line.n.01 telecommunicationstechnology
relaxant.n.01 medication
gate.v.03 schoolrestriction
incumbency.n.03 politicalposition
aalborg.n.01 city
gibson_girl.n.01 artisticdepiction
nihilism.n.01 politicalideology
dog_shit.n.01 animalwaste
biopsy.n.01 medicalprocedure
ectoprocta.n.01 subphylum
noble_gas.n.01 chemicalelement
fish_genus.n.01 fishgenus
strontium.n.01 chemicalelement
evening.n.03 leisuretime
knob.n.02 hardwarecomponent
insane.a.01 mentalstate
hipbone.n.01 anatomicalstructure
zonk_out.v.02 sleepaction
cryptocercidae.n.01 familyofinsects
blogger.n.01 onlinecontentcreator
ceramics.n.01 craft
magnetize.v.02 influenceaction
leguminosae.n.01 plantfamily
fossil_fuel.n.01 naturalresource
cave.v.02 cavingactivity
stand.v.02 state
waste.v.04 liquiddischarge
responsible.a.01 liability
backseat.n.02 automotiveseat
computer_screen.n.01 computeroutputdevice
citlaltepetl.n.01 mountain
murmur.v.01 soundproduction
starboard.v.01 navigationaction
matilija_poppy.n.01 plant
astronomer.n.01 scientificprofessional
acquiring.n.01 action
administer.v.01 governance
honduras.n.01 country
miler.n.02 athlete
lentinus.n.01 fungigenus
repeat.n.01 recurringevent
ipod.n.01 consumerelectronics
force.v.08 physicalaction
duck.n.01 waterfowl
machiavelli.n.01 politicalfigure
schizophragma.n.01 plantgenus
correlate.v.02 association
pterocarya.n.01 plant
homo.n.02 human
informant.n.01 source
phascogale.n.01 mammal
mechanize.v.03 actionallocation
centime.n.01 currency
anesthetize.v.01 medicalprocedure
serve.v.14 sexualinteraction
sipuncula.n.01 marineinvertebrate
mastoid.n.01 anatomicalstructure
crash.v.09 causalagent
qualify.v.04 preparationaction
originality.n.02 novelty
bottle.v.02 packagingaction
answer.n.01 response
stipulation.n.03 legalconcession
ordain.v.01 lawmakingact
march.v.03 motion
definition.n.01 lexicalentry
arhus.n.01 city
fuss.n.02 socialdisruption
molt.n.01 biologicalprocess
photography.n.01 artisticpractice
overturn.v.01 physicalchangeaction
phoronida.n.01 marineinvertebratephylum
commemorate.v.01 memorialaction
canine.a.01 toothmorphology
collar.n.01 clothingaccessory
bead.v.02 decorationmethod
articulatory.a.01 phoneticsfeature
storm.n.01 weatherphenomenon
cuba.n.01 country
deactivation.n.02 militaryaction
placuna.n.01 organism
wages.n.01 rewardorpunishment
periwinkle_plant_derivative.n.01 medication
simpson.n.01 royalfigure
formality.n.02 ceremonialcustom
patronymic.n.01 surnameorigin
enervate.v.01 debilitation
norethindrone.n.01 hormonedrug
energetic.a.01 characteristic
andromeda.n.01 plant
pole.n.07 geographicpole
bell.n.05 shape
plebeian.n.01 citizen
biometric_identification.n.01 authenticationmethod
sisyphus.n.01 mythologicalfigure
trick.n.01 deceptiveaction
patron.n.02 innkeeper
gibibit.n.01 digitalbitunit
arborvitae.n.01 plantgenus
candlenut.n.01 plant
stone.n.05 weightunit
worshiper.n.01 fanatic
dining_car.n.01 transportationfeature
inanimateness.n.01 abstractproperty
rachycentridae.n.01 fishfamily
aryan.n.02 ancientpeople
testcross.n.01 geneticcross
constituent.n.04 grammaticalunit
blantyre.n.01 city
terrify.v.01 fearinducingaction
irreverence.n.02 disrespectfulact
hello.n.01 greeting
hardware.n.03 computercomponent
pressure.n.01 physicalquantity
richness.n.05 productivity
clog.v.01 obstruction
phonetics.n.01 phoneticsfieldofstudy
capuchin.n.02 primate
purgatory.n.02 religiousconcept
individual_retirement_account.n.01 retirementaccount
zoonosis.n.01 infectiousdisease
dust.v.01 cleaningaction
annoyance.n.04 problem
introspect.v.01 cognition
triglochin.n.01 flora
melicoccus.n.01 plant
summit.v.01 locationaction
reprehend.v.01 criticism
distinguished_flying_cross.n.01 militaryaward
channel_catfish.n.01 freshwaterfish
severance.n.02 action
halter.n.04 insectwing
eject.v.01 actionmodification
matthiola.n.01 plantgenus
trivium.n.01 medievaluniversitycurriculum
genus_hydrangea.n.01 plantgenus
prowler.n.01 criminal
chatterer.n.01 boisterousindividual
polysaccharide.n.01 carbohydrate
lift.v.02 motionaction
countercheck.n.01 regulatorymechanism
dating.n.01 geochronologymethod
volvariella.n.01 fungusgenus
waterbuck.n.01 africanantelope
paper_money.n.01 governmentcurrency
retrench.v.02 employmentaction
central_intelligence_agency.n.01 governmentorganization
temperance.n.03 action
subculture.n.01 culturalgroup
enclose.v.03 spatialrelationship
palisade.n.01 fortification
reply.n.02 conversationcontinuation
breeze_through.v.01 achievement
begin.v.06 temporaleventinitiation
genus_oncidium.n.01 orchidgenus
queue.n.01 lineofwaitingthings
leipzig.n.01 city
rise.v.16 celestialmovement
leave.v.11 residualquantity
bureau_of_diplomatic_security.n.01 governmentalorganization
pentagon_gang.n.01 filipinoterroristorganization
luck.n.03 chanceevent
heat.n.03 physicalsensation
department_of_homeland_security.n.01 governmentagency
bow_leg.n.01 anatomicalfeature
successful.a.01 event
sole.n.02 seafood
leyte.n.01 militaryconflict
parsimony.n.01 economicconcept
goose.v.01 sexualgesture
bait.v.02 action
truncation_error.n.01 mathematicalerror
tarkovsky.n.01 filmmaker
indemnify.v.01 financialprotection
mujahidin.n.01 religiousmilitantgroup
symphonize.v.01 musicalharmony
waw.n.01 hebrewletter
technician.n.01 occupation
hunting_license.n.01 legaldocument
wakefulness.n.01 mentalstate
power.n.05 authorityfigure
ornithischian.n.01 dinosaur
tebet.n.01 timeperiod
monogamy.n.01 婚姻制度
nyctaginia.n.01 plantgenus
tooth.n.03 invertebrateappendage
genus_macrozamia.n.01 plantgenus
travel.n.01 journey
mombasa.n.01 coastalcity
overvalue.v.01 valuationadjustment
tap.n.06 winecaskpart
casablanca.n.01 city
cast_iron.n.01 material
masturbate.v.02 sexualact
meet.v.02 socialgathering
mineralogy.n.01 scientificfield
lefteye_flounder.n.01 fish
meddler.n.01 pesterer
channel.n.02 waterway
classification.n.02 category
plan.v.01 intentionalaction
froth.v.03 physicalphenomenon
red_oak.n.01 treespecies
multidimensional_language.n.01 programminglanguageconcept
headline.v.02 headliningaction
unfit.a.02 physicalcondition
communist.n.02 politicalideology
car_seat.n.01 automotivefurniture
parrot.n.01 animal
pitcher_sage.n.02 plantspecies
bog_asphodel.n.01 plantspecies
propagandist.n.01 politicalactor
embrace.n.03 affection
volunteer.n.01 militarypersonnel
enlarge.v.01 sizemodification
talinum.n.01 plantgenus
genus_maxillaria.n.01 plantgenus
nudge.v.01 physicalinteraction
import.n.02 immigrant
creation.n.01 action
warp.n.02 geometricshape
kelly.n.03 americanactress
break_dance.v.01 dancingaction
blush.v.01 emotivereaction
subsumption.n.02 categorization
polecat.n.02 mammal
action.n.02 activity
criminal_investigation_command.n.01 militarylawenforcementagency
attach.v.01 causativeaction
facial_vein.n.01 anatomicalstructure
find_out.v.04 maliciousaction
bragger.n.01 person-boastful
cross-fertilize.v.01 biologicalprocess
yogurt.n.01 dairyproduct
milliliter.n.01 volumemeasurement
activator.n.01 molecularregulator
gyromitra.n.01 fungus
staphylea.n.01 plantgenus
gyneolatry.n.01 concept
shellac.v.01 surfacetreatment
round-tailed_muskrat.n.01 geographicallocation
positivist.n.01 philosopher
unfeelingness.n.01 abstractquality
society.n.04 highsociety
communicativeness.n.01 personalitytrait
fisherman.n.01 professional
face.n.04 toolsurface
face.n.05 humanbodypart
taylor.n.03 uspresident
cheat.v.02 deceptionaction
weak_part.n.01 weakness
acquisition.n.02 possession
rocker.n.03 subculture
blenny.n.01 seafish
digit.n.01 numericalsymbol
dovyalis.n.01 plantspecies
tolmetin_sodium.n.01 medication
inaudible.a.01 soundperception
pat.n.01 sound
alike.a.01 similarity
charcoal.v.01 artistictechnique
brittlebush.n.01 plant
etymology.n.01 wordhistory
southernism.n.02 socio-culturaltrait
spiritualize.v.03 moralpurification
gasterosteidae.n.01 fishfamily
pill.n.02 medication
glide.v.02 flightmechanism
defervescence.n.01 medicalcondition
spirochaetaceae.n.01 bacteria
liberalization.n.01 policychange
characteristic_curve.n.01 electricalcharacteristic
effect.n.06 medicalsymptom
scare.n.02 emotionalexperience
balkanize.v.01 politicalaction
climber.n.01 plant
pilot_program.n.02 pilotprogram
buzzword.n.01 phrasalcliché
hart's-tongue.n.02 plantspecies
vaginitis.n.01 medicalcondition
rafter.v.01 ceilingconstruction
procaviidae.n.01 mammaliantaxon
hydrodamalis.n.01 marinemammalgenus
scientific_knowledge.n.01 scientificconcept
papist.n.01 religiousgroup
crested_cariama.n.01 bird
finger_hole.n.02 handopening
brama.n.01 taxonomicgenus
sparring.n.01 disagreement
rank.v.01 relativeposition
procyonid.n.01 carnivorousmammal
pulicidae.n.01 parasiticinsect
rule.v.02 decisonauthority
concavity.n.02 geometricproperty
kit_out.v.01 equipmentprovider
munition.v.01 armamentprovider
hard_drug.n.01 substance
insightfulness.n.01 cognitiveability
united_states_government.n.01 nationalgovernment
gruidae.n.01 animal
koto_player.n.01 musician
diagnose.v.02 medicalprocedure
order.n.11 monastery
hydrogen_peroxide.n.01 chemicalcompound
minister.v.02 religiousofficial
shape.n.02 geometry
blackwash.n.02 medicinalpreparation
equine.n.01 animal
verse.n.02 literarywork
disloyal.a.02 betrayalaction
ingratiate.v.01 favoracquisition
recorder.n.01 audiorecordingdevice
pteridaceae.n.01 plantfamily
fighter.n.02 aircraft
till.v.01 agriculturalaction
close.v.04 eventcompletion
swietinia.n.01 treespecies
line_of_fate.n.01 palmreadingfeature
appointee.n.01 governmentofficial
teak.n.02 treespecies
achras.n.01 plant
show.v.04 manifestation
distress.v.02 causerofpsychologicalharm
harmony.n.04 concept
moloch.n.03 reptile
harshness.n.01 physicalproperty
exit.v.01 movement
phasmidae.n.01 insect
top_out.v.03 achievement
ice.n.03 preciousgem
surrogate.n.01 stand-in
act.v.08 leisureactivity
oncidium.n.01 flowergenus
serinus.n.01 bird
electric_potential.n.01 electricalquantity
nicotiana.n.01 plantspecies
united_states_coast_guard.n.01 governmentagency
cider.n.01 alcoholicbeverage
raphicerus.n.01 animalspecies
barbeque.v.01 cookingmethod
feint.n.01 militarytactics
wave_number.n.01 physicalquantity
spanish.n.01 language
mental_illness.n.01 mentalhealthcondition
sphaerocarpus.n.01 plantgenus
harrison.n.04 uspresident
hydrocarbon.n.01 chemicalcompound
scallop.n.02 seafood
bark_beetle.n.01 pest
genus_commelina.n.01 plantgenus
secondary_education.n.01 highschoolorcollegepreparatoryeducation
stem.v.04 partdisassemblyaction
stop.n.03 travelbreak
battery.n.02 electricaldevice
mercantile_law.n.01 legaldoctrine
hamburg.n.01 city
march.n.02 action
facility.n.04 building
immigrate.v.03 migrationaction
allow.v.10 permission
chemical_element.n.01 chemicalcompound
scolytus.n.01 biologicalgenus
grossulariaceae.n.01 plantfamily
burke.v.02 manipulation
keep_away.v.01 spatialrestriction
osmosis.n.01 biologicalprocess
capricorn.n.03 constellation
citizen.n.01 person
gluttonize.v.01 consumptionaction
disenchant.v.01 magicalstatechange
zoning.n.01 landuseregulation
genus_cattleya.n.01 orchidgenus
be.v.11 living
sassafras.n.02 plantpart
prizefight.v.01 sportingevent
grozny.n.01 city
hold.v.11 containment
cheremis.n.01 ethnolinguisticgroup
soak.v.01 immersionaction
mindful.a.01 cognitivestate
inhalation_anesthetic.n.01 anestheticagent
bang.n.04 emotionalevent
retardation.n.02 delaymechanism
genus_heliopsis.n.01 plant
hellgrammiate.n.01 invertebrateaquaticorganism
reverse.n.01 antonym
shiah.n.01 religiousgroup
assertive.a.01 personalitytrait
salute.n.02 militarygesture
contest.v.01 legalaction
ball-and-socket_joint.n.01 anatomicalstructure
autumn_crocus.n.01 flower
diphenylhydantoin.n.01 medication
highjacking.n.01 transportationcrime
conventionalize.v.01 normaction
poke.v.03 agitationaction
sink.v.01 physicalmovement
non_prosequitur.n.01 legaljudgment
offer.v.07 financialproposal
break.v.10 obstruction
skiffle_group.n.01 musicgroup
property.n.04 property
glechoma.n.01 plant
canoeist.n.01 watersportsparticipant
turkish_hizballah.n.01 politicalmilitantgroup
scribble.n.01 defectivewriting
periplaneta.n.01 insects
appendage.n.03 accessory
notophthalmus.n.01 amphibian
membrane_bone.n.01 intramembranousbone
hog_plum.n.04 fruit
everglades.n.01 naturalregion
recall.n.05 politicalrecall
arnhem.n.01 city
logicality.n.01 concept
hairpiece.n.01 costumeaccessory
bithynia.n.01 ancientgeographicregion
arousal.n.01 action
divisor.n.01 mathematicalconcept
greater_antilles.n.01 location
abiogenesis.n.01 biologicalprocess
project.v.03 conceptualtransfer
burn.n.04 injurysite
cirripedia.n.01 marinecrustacean
protestant_denomination.n.01 religiousorganization
artiodactyla.n.01 mammalianorder
dunkirk.n.03 militaryevent
primitive.n.01 earlyhuman
gobi.n.01 geographicallocation
chit.n.01 offensivenickname
lazybones.n.01 person
garden.n.01 outdoorspace
trail.v.05 physicalmotion
fructify.v.01 productivityevent
dancing_partner.n.01 socialparticipant
norlestrin.n.01 drug/medication
turn.v.13 manufacturingprocess
strip.n.02 physicalobject
rhinoptera.n.01 genus
epizoan.a.01 biologicalrelation
cytogenesis.n.01 biologicalprocess
rationalize.v.05 quantifieroperation
springfield.n.03 city
church.n.01 christiandenomination
television_station.n.01 broadcastmediaoutlet
miconazole.n.01 antifungalmedication
address.v.02 communicationact
scarabaeid_beetle.n.01 insect
coal.n.01 fossilfuel
synagrops.n.01 fishgenus
glamorize.v.02 aestheticmodification
steep.n.01 landform
swan.n.01 bird
red_army_faction.n.01 teroristorganization
maxzide.n.01 medication
frustration.n.03 emotion
flood.n.03 lightsource
superior_planet.n.01 celestialbody
hygrophorus.n.01 fungalgenus
alytes.n.01 amphibian
subcontract.v.01 workprocurement
driftage.n.01 deviationcause
zygophyllaceae.n.01 plantfamily
plant_louse.n.01 pest
colossus.n.02 prominentfigure
expurgator.n.01 texteditor
rattle.n.01 medicalsound
improvise.v.01 unplannedaction
crocodylidae.n.01 animalfamily
menorrhagia.n.01 medicalcondition
black_morel.n.01 mushroomvariety
sporulate.v.01 biologicalprocess
packera.n.01 plantgenus
tone.v.05 physicalpropertymodifier
curlew.n.01 bird
magus.n.01 ancientpractitioner
magician.n.01 performer
dissection.n.03 literaryanalysis
raise.v.22 radiocommunicationestablishment
rheidae.n.01 biologicalfamily
roman_empire.n.01 historicalpoliticalentity
trumpeter.n.03 birdspecies
intoxicate.v.03 drugeffect
ban.v.01 censorshipaction
depend_on.v.01 dependencyrelation
ax.n.01 handtool
planetary_gear.n.01 mechanicalcomponent
clang.v.01 soundevent
subtraction.n.02 mathematicaloperation
converge.v.03 locationconvergence
bail.n.01 criminallegalbond
rabbitwood.n.01 plantspecies
plum.n.02 fruit
genus_gazania.n.01 plantgenus
howard.n.01 person
dandelion.n.01 plant
thin.v.02 changemodifier
geraniaceae.n.01 plantfamily
resentment.n.01 emotion
caudate_nucleus.n.01 brainstructure
mediation.n.02 resolutionprocess
philippine_sea.n.01 militaryconflict
mound.v.01 landformcreation
jeffrey_pine.n.01 plantspecies
loot.n.01 stolenproperty
polygonum.n.01 plantgenus
ease_up.v.03 pressuremodification
acipenseridae.n.01 fishfamily
publicize.v.01 action
fauna.n.01 animalcommunity
burlesque.a.01 stylisticcategory
lonas.n.01 plant
pentazocine.n.01 analgesicdrug
reassure.v.01 actionofprovidingcomfort
comparison.n.01 act
articulation.n.02 connectionmechanism
boo.v.01 disapprovalexpression
inappropriateness.n.02 moralquality
interviewee.n.01 personinterviewed
left.n.03 humanbodypart
reconnaissance_vehicle.n.01 militaryequipment
master's_degree.n.01 academicdegree
antic.n.01 humorousaction
tube.n.04 anatomicalstructure
western_saxifrage.n.01 plantspecies
bed.v.03 actionsleep
divorce.v.02 maritalstatusaction
camouflage.v.01 concealmentaction
goalkeeper.n.01 sportsathlete
vitamin.n.01 nutrient
hyalosperma.n.01 plantgenus
adenine.n.01 nucleobase
quart.n.02 volumeunit
lewisia.n.01 plantgenus
limnobium.n.01 aquaticplant
crowding.n.01 event
logarithm.n.01 mathematicalfunction
berry.n.01 fruit
galbraith.n.01 economistanddiplomat
care.n.04 concern
uneven.a.01 qualitativedescription
hemipterous_insect.n.01 insectorder
transact.v.01 businessaction
conspiratorial.a.01 premise
lamentations.n.01 biblicalbook
costume.n.01 theatricalcostume
reek.v.03 physicalcondition
sebaceous_cyst.n.01 skincondition
dress.v.15 stylization
tag_along.v.01 socialaccompaniment
future.n.03 futurescontract
ravel.v.01 actionunwinding
softness.n.01 materialproperty
sorcerer.n.01 mythicalbeing
inkling.n.01 concept
biological_research.n.01 scientificresearcharea
heterosexuality.n.01 sexualorientation
celebration.n.03 religiousceremony
nauru.n.01 islandnation
morbid.s.01 mentalstateindicator
switcher.n.01 punisher
swimming.n.01 action
task.v.01 taskassignment
iron.n.02 golfclub
automaton.n.02 mechanicaldevice
carcharias.n.01 fishfamily
circularize.v.01 distributionmethod
jellyfish.n.02 marineanimal
archpriest.n.01 religiousleader
objection.n.02 action
lift.v.03 motionaction
withholding.n.01 payrolldeduction
greengrocery.n.02 shop
isoptera.n.01 insectorder
palo_santo.n.01 plant
planning.n.01 action
shoplift.v.01 retailtheft
heckle.v.02 aggressivechallenge
renal_failure.n.01 kidneydisease
bifurcate.v.01 separationaction
marattiaceae.n.01 plantorder
breath.n.01 physiologicalprocess
bar.n.07 atmosphericpressureunit
dickey.n.01 vehicleseat
baku.n.01 capitalcity
gum.v.04 exudationprocess
knee_piece.n.01 armourprotection
lining.n.03 surfacetreatment
omnidirectional_antenna.n.01 radiohardware
beardless_iris.n.01 flower
bruxelles.n.01 city
palette.n.01 colorscheme
sound.v.06 soundproducer
discontinue.v.01 terminationaction
snap.v.10 action
sensitization.n.01 biologicalstate
nebula.n.03 celestialobject
driver's_license.n.01 drivingdocument
outburst.n.02 event
stick.v.12 thrustaction
niagara_falls.n.02 touristdestination
scholar.n.01 academic
carving.n.01 sculpture
twirl.v.01 motion
rachmaninoff.n.01 classicalmusician
continuous.a.01 duration
able_seaman.n.01 merchantmarineprofessional
trope.n.01 figurativelanguage
drawing.n.01 artworkillustration
guess.n.01 inference
reticle.n.01 opticalsight
carcharhinus.n.01 taxonomicgenus
epithelial_cell.n.01 biologicalcell
luke.n.01 biblicalfigure
spy.v.03 visualperception
negro_peach.n.01 plant
schomburgkia.n.01 orchidgenus
